Source,Type,Target,Weight
Арлекин,Undirected,Блез,3
Арлекин,Undirected,Графиня,4
Арлекин,Undirected,Дорант,13
Арлекин,Undirected,Лизетта,8
Арлекин,Undirected,Маркиза,7
Арлекин,Undirected,Фронтен,4
Арлекин,Undirected,Шевалье,3
Блез,Undirected,Графиня,2
Блез,Undirected,Дорант,3
Блез,Undirected,Лизетта,4
Блез,Undirected,Фронтен,2
Блез,Undirected,Шевалье,1
Графиня,Undirected,Дорант,5
Графиня,Undirected,Лизетта,8
Графиня,Undirected,Маркиза,5
Графиня,Undirected,Фронтен,7
Графиня,Undirected,Шевалье,11
Дорант,Undirected,Лизетта,5
Дорант,Undirected,Маркиза,14
Дорант,Undirected,Фронтен,3
Дорант,Undirected,Шевалье,4
Лизетта,Undirected,Маркиза,1
Лизетта,Undirected,Фронтен,7
Лизетта,Undirected,Шевалье,6
Маркиза,Undirected,Фронтен,4
Маркиза,Undirected,Шевалье,3
Фронтен,Undirected,Шевалье,11
